terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,2,2,1,83,12,-8,0.24413733273341667,0.7784288634288612,-0.1856668307023469,-0.22704428944320984,-0.8774701594685381,4,6,5
NA,NA,2,NA,1,35,4,-8,0.10915089253138394,0.1676038048767283,-1.1751410142007714,-0.7223299143949291,0.2589939183772314,3,6,5
0,NA,NA,1,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,2,2,0,71,7,-1,-0.16082198787268154,0.32031006951476154,0.23839353365412075,-0.06194908112597008,0.006446345522615976,5,2,5
NA,NA,2,2,0,55,4,-8,0.3791237729354494,-0.2905149890373714,0.37974698843960997,0.10314612719126968,-0.2461012273319995,4,7,5
NA,NA,2,2,1,55,4,-8,-0.29580842807471425,0.32031006951476154,0.09704007886863153,-0.22704428944320984,-0.49864880018661495,5,4,2
NA,NA,2,2,1,31,6,10,0.5141102131374822,0.47301633415279476,-0.1856668307023469,0.10314612719126968,-0.8774701594685381,5,6,6
NA,NA,2,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,1,72,2,-8,1.054055973945613,0.1676038048767283,-1.1751410142007714,-1.0525203310294087,0.8903628505137701,7,7,7
NA,0,2,1,0,61,7,-1,0.7840830935415476,-0.7486337829514711,-0.7510806498443038,0.5984317521429889,1.2691842097956931,6,6,7
1,0,2,2,0,87,3,-8,0.7840830935415476,-0.9013400475895043,0.5211004432250992,0.7635269604602287,0.13272013194992371,6,7,6
NA,1,2,2,1,60,3,-8,0.10915089253138394,-1.0540463122275376,-0.1856668307023469,-0.22704428944320984,0.38526770480453915,4,5,5
NA,NA,2,2,1,58,9,-8,0.10915089253138394,0.47301633415279476,-0.6097271950588146,0.10314612719126968,-0.11982744090469175,4,5,5
NA,NA,1,1,0,54,4,-8,-0.29580842807471425,-0.13780872439933817,-0.044313375916857696,-0.3921394977604496,0.2589939183772314,3,4,4
NA,NA,2,2,0,58,4,-8,-0.5657813084787797,0.014897540238695073,0.23839353365412075,-0.22704428944320984,0.13272013194992371,4,2,3
NA,1,2,3,1,53,2,-8,-0.430794868276747,-0.4432212536754046,-0.1856668307023469,-0.5572347060776893,0.13272013194992371,4,1,5
NA,0,2,2,0,49,3,-8,1.054055973945613,0.1676038048767283,0.9451608075815668,0.10314612719126968,-0.3723750137593072,7,7,7
NA,NA,2,NA,0,21,4,-8,0.5141102131374822,-0.4432212536754046,0.09704007886863153,0.10314612719126968,0.5115414912318469,7,4,6
NA,NA,1,1,0,57,12,-8,0.5141102131374822,0.32031006951476154,1.086514262367056,0.7635269604602287,1.2691842097956931,5,5,7
NA,NA,-0,NA,0,36,12,-8,1.054055973945613,0.7784288634288612,1.086514262367056,0.7635269604602287,-1.003743945895846,7,7,7
NA,NA,2,2,1,51,4,-8,0.3791237729354494,0.32031006951476154,-1.0337875594152823,0.7635269604602287,-0.3723750137593072,4,6,6
NA,NA,2,1,0,46,1,-8,-0.29580842807471425,0.32031006951476154,0.23839353365412075,-0.5572347060776893,-0.3723750137593072,4,3,4
NA,NA,1,-0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0,-0,0,39,7,1,-0.430794868276747,0.014897540238695073,-0.1856668307023469,0.2682413355085094,0.2589939183772314,3,3,4
NA,NA,1,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,2,0,84,12,-8,-0.430794868276747,0.014897540238695073,0.37974698843960997,-0.06194908112597008,-0.49864880018661495,2,4,4
NA,NA,2,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0,-0,0,53,4,10,-0.16082198787268154,-0.5959275183134378,-0.4683737402733254,-0.06194908112597008,0.38526770480453915,5,3,4
NA,NA,2,1,1,32,4,-8,0.5141102131374822,-0.7486337829514711,-0.4683737402733254,-0.22704428944320984,0.6378152776591546,5,6,6
NA,NA,-0,-0,0,29,6,-8,-0.16082198787268154,-0.5959275183134378,-0.7510806498443038,-0.06194908112597008,0.38526770480453915,4,4,4
NA,NA,2,2,1,58,6,-8,0.24413733273341667,0.014897540238695073,0.23839353365412075,0.2682413355085094,-0.6249225866139226,5,5,5
NA,NA,-0,-0,0,54,6,10,-0.16082198787268154,0.32031006951476154,0.6624538980105884,0.7635269604602287,-0.49864880018661495,4,4,4
NA,NA,-0,1,1,72,10,-8,-0.0258355476706488,0.1676038048767283,0.5211004432250992,0.10314612719126968,-0.3723750137593072,4,4,5
NA,NA,-0,-0,0,46,3,-8,0.24413733273341667,0.32031006951476154,0.37974698843960997,-0.5572347060776893,0.2589939183772314,6,4,5
NA,NA,1,1,1,50,4,-8,-0.16082198787268154,0.47301633415279476,-0.044313375916857696,0.7635269604602287,-0.11982744090469175,3,4,5
NA,NA,-0,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,2,0,80,7,-8,-0.0258355476706488,0.47301633415279476,0.8038073527960776,0.5984317521429889,-0.2461012273319995,3,4,6
NA,NA,-0,-0,0,59,8,2,-0.29580842807471425,0.014897540238695073,0.09704007886863153,-0.22704428944320984,-0.2461012273319995,4,4,3
NA,NA,2,-0,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
