pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
NA,NA,3,0.26442952034554085,0.39471544334258546,0.6965617144562734,0.4703554560897234,0.022811174462054412,1,53,10,7,8,7,7
0,4,4,0.08428056870441007,0.27706572553448167,0.02816534963591646,-0.6094511762551581,-0.6838458261416214,0,54,13,4,9,6,5
0,3,3,0.7148018994483678,0.27706572553448167,0.31462093455892653,0.14641346638625896,0.2878075496884328,0,37,7,9,8,9,10
0,3,3,-0.2760173345778515,0.630014878958793,0.12365054461025315,-0.06954786008271732,0.022811174462054412,0,65,5,NA,3,7,6
0,3,3,-0.0958683829367207,0.27706572553448167,0.12365054461025315,-0.17752852331720548,0.19947542461297335,1,55,7,5,5,5,8
0,3,3,0.26442952034554085,0.630014878958793,-0.16280504031275692,0.4703554560897234,-0.15385307568886453,1,64,10,2,6,8,8
NA,4,NA,NA,NA,NA,NA,NA,0,46,5,7,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,72,5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,38,5,4,NA,NA,NA
0,4,4,0.6247274236278024,0.5123651611506892,0.02816534963591646,-0.9333931659586225,0.11114329953751388,0,53,5,8,8,9,9
NA,NA,NA,NA,NA,NA,NA,NA,1,32,13,5,NA,NA,NA
0,3,3,-0.45616628621898225,-0.5464822991222449,-0.2582902352870936,-0.2855091865516936,1.259460925518487,0,36,12,6,5,5,4
NA,NA,NA,NA,NA,NA,NA,NA,0,33,11,8,NA,NA,NA
0,3,3,-0.0958683829367207,0.15941600772637787,0.5055913245075999,-0.17752852331720548,-0.06552095061340506,0,63,5,5,8,8,2
0,3,3,0.4445784719866716,0.39471544334258546,-0.3537754302614303,0.14641346638625896,0.2878075496884328,0,51,5,7,8,8,8
0,2,2,-0.45616628621898225,0.27706572553448167,-0.2582902352870936,0.902278109027676,-0.4188494509152429,0,73,3,6,2,5,7
1,2,1,-0.0958683829367207,-0.8994314525465562,0.41010612953326325,0.6863167825586997,0.2878075496884328,0,34,5,NA,3,8,7
0,3,3,-0.005793907116155319,-0.19353314569793348,-0.2582902352870936,0.03843280315177083,-0.8605100762925403,0,77,9,6,6,8,5
NA,3,NA,NA,NA,NA,NA,NA,0,46,10,8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,70,9,NA,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,0,67,10,9,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,42,6,5,NA,NA,NA
NA,NA,3,-0.0958683829367207,-0.31118286350603724,0.6965617144562734,-0.5014705130206699,0.19947542461297335,0,58,10,2,8,5,5
0,4,4,0.35450399616610623,-0.31118286350603724,-1.3086273800047972,-0.2855091865516936,1.082796675367568,0,19,9,0,10,9,4
0,4,4,-0.5462407620395476,-0.0758834278898297,-0.06731984533842024,0.4703554560897234,0.4644717998393518,1,72,11,8,5,5,3
0,3,3,-0.0958683829367207,-0.31118286350603724,0.31462093455892653,0.7942974457931878,-0.4188494509152429,0,43,13,NA,7,5,6
0,3,3,0.6247274236278024,0.15941600772637787,0.6010765194819366,0.4703554560897234,0.19947542461297335,0,67,12,3,10,8,8
0,3,3,-0.7263897136806784,0.04176628991827409,0.5055913245075999,0.03843280315177083,-0.4188494509152429,1,71,5,5,7,3,1
0,2,2,0.8949508510894986,0.5123651611506892,-0.06731984533842024,0.25439412962074714,0.11114329953751388,0,22,12,2,10,10,9
NA,NA,NA,NA,NA,NA,NA,NA,0,44,5,4,NA,NA,NA
0,3,3,0.534652947807237,0.39471544334258546,-0.3537754302614303,0.14641346638625896,0.37613967476389226,0,44,13,3,9,9,7
1,4,3,0.26442952034554085,0.27706572553448167,-0.449260625235767,-0.3934898497861818,-0.5071815759907023,1,61,10,3,8,7,7
0,3,3,-0.18594285875728608,0.04176628991827409,-0.06731984533842024,0.5783361193242116,-0.4188494509152429,1,67,10,8,5,7,5
0,3,3,-0.3660918103984169,0.5123651611506892,0.12365054461025315,-0.9333931659586225,0.5528039249148112,1,62,5,10,1,7,7
-1,3,4,0.35450399616610623,0.04176628991827409,0.5055913245075999,0.03843280315177083,-0.24218520076432398,0,70,5,3,9,7,7
NA,NA,NA,NA,NA,NA,NA,NA,1,41,13,8,NA,NA,NA
0,4,4,-0.0958683829367207,0.27706572553448167,-0.6402310151844404,-0.17752852331720548,0.11114329953751388,1,71,13,3,8,4,6
NA,NA,4,0.17435504452497544,-0.0758834278898297,-0.06731984533842024,0.14641346638625896,-0.06552095061340506,1,18,NA,6,5,8,8
0,3,3,-0.9065386653218092,-0.6641320169303486,0.6965617144562734,-0.3934898497861818,-0.15385307568886453,1,27,5,8,1,6,2
