election,placebo,pintr,pintr_placebo,male,age,edu,ideology,O_sd,C_sd,E_sd,A_sd,N_sd,p09c64,p09c69
NA,NA,7,8,0,46,10,3,-0.7498847095270236,-0.4596359991303204,-0.4283595078965045,0.5928454749418971,-0.867520539561751,5,2
NA,NA,8,8,1,50,10,1,0.32194565528553626,0.523953664537635,-1.2241357272765672,0.06227540579901044,0.2929008405723043,8,7
0,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,1,1,42,4,NA,0.32194565528553626,0.8518168857602868,0.8979341910702665,0.2391320955133061,-1.1576258845952647,10,5
NA,NA,0,0,0,38,4,5,-0.6159059139254536,0.03215883270365715,-0.16310076810315038,-0.6451513530581715,-0.43236252201148023,8,0
NA,1,7,7,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,1,0,0,39,4,NA,0.05398806408239635,0.19609044331498324,0.3674167114835582,-0.11458128391528485,0.2929008405723043,8,5
NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,5,1,65,4,8,-0.34794832272231363,0.8518168857602868,-0.030471398206473158,0.06227540579901044,-0.14225717697796647,5,5
NA,NA,NA,NA,0,54,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,NA,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,8,1,57,4,6,-0.34794832272231363,-0.4596359991303204,-0.030471398206473158,-0.4682946633438758,-0.14225717697796647,6,4
NA,NA,NA,NA,0,56,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,5,6,0,31,3,6,0.5899032464886761,-0.4596359991303204,-0.5609888777931816,-0.11458128391528485,-0.5774151945282371,7,10
NA,NA,NA,NA,1,38,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,7,1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,2,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,5,0,82,5,NA,-0.07999073151917374,0.8518168857602868,-0.9588769874832129,0.7697021646561928,-0.722467867044994,10,2
NA,NA,0,4,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,47,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,6,7,1,44,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,7,0,54,4,4,0.18796685968396615,-0.29570438851899467,-0.5609888777931816,0.06227540579901044,0.1478481680555473,8,6
NA,NA,NA,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,2,0,54,4,NA,0.4559244508871063,0.19609044331498324,0.6326754512769124,0.4159887852276018,0.1478481680555473,8,8
NA,NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,6,0,65,3,10,-0.07999073151917374,0.6878852751489608,0.6326754512769124,0.06227540579901044,0.43795351308906133,6,6
NA,NA,5,2,1,66,9,10,0.9918396332933861,0.523953664537635,0.234787341586881,1.1234155440847837,1.018164203156089,10,10
NA,NA,NA,NA,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,5,NA,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,7,0,87,4,NA,0.4559244508871063,0.360022053926309,0.234787341586881,-0.11458128391528485,-0.28730984949472316,6,10
0,NA,3,5,0,41,6,5,0.18796685968396615,-0.7874992203529724,-0.030471398206473158,-0.4682946633438758,0.1478481680555473,6,8
NA,NA,NA,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,2,0,59,4,4,0.9918396332933861,0.8518168857602868,-0.4283595078965045,-0.2914379736295805,-0.14225717697796647,10,10
NA,NA,5,5,0,32,1,5,-0.34794832272231363,-0.4596359991303204,-0.2957301379998273,-0.2914379736295805,-0.14225717697796647,4,6
NA,NA,8,5,1,66,9,5,-0.07999073151917374,0.360022053926309,-0.5609888777931816,-0.4682946633438758,0.1478481680555473,8,4
NA,NA,6,8,0,66,5,NA,0.857860837691816,-0.1317727779076686,-0.6936182476898587,-0.11458128391528485,0.0027954955387905684,9,10
NA,NA,NA,NA,1,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,7,0,72,1,4,0.5899032464886761,0.19609044331498324,-0.2957301379998273,0.4159887852276018,-0.14225717697796647,8,9
0,NA,4,4,1,48,6,3,0.32194565528553626,-0.1317727779076686,-0.5609888777931816,-0.2914379736295805,-0.28730984949472316,5,10
NA,NA,NA,NA,0,43,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,1,62,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,8,0,59,5,5,-0.6159059139254536,0.19609044331498324,-0.8262476175865359,-0.2914379736295805,-0.43236252201148023,6,2
